Party,Candidate Name,Candidate ID,Committee ID
D,Cory Booker,P00009795,C00695510
D,Kamala Harris,P00009423,C00694455
D,Joe Biden,P80000722,C00703975
D,Amy Klobuchar,P80006117,C00696419
D,Bernie Sanders,P60007168,C00696948
D,Elizabeth Warren,P00009621,C00693234
D,Pete Buttigieg,P00010298,C00697441
D,Beto O'Rourke,P00010793,C00699090
D,Julián Castro,P00009092,C00693044
D,John Delaney,P00006213,C00508416
D,Andrew Yang,P00006486,C00659938
D,Tulsi Gabbard,P00009183,C00693713
D,Tim Ryan,P00011338,C00701979
D,Wayne Messam,P00010827,C00699280
D,Marianne Williamson,P00009910,C00696054
D,Steve Bullock,P00011999,C00706416
D,Michael Bennet,P00011833,C00705186
R,Donald Trump,P80001571,C00580100
D,Tom Steyer,P00012716,C00711614
D,Joe Sestak,P00012567,C00710574
